"ResponseId","IPQ.R_1","IPQ.R_2","IPQ.R_3","IPQ.R_4","IPQ.R_5","IPQ.R_6","IPQ.R_7","IPQ.R_8","IPQ.R_9","IPQ.R_10","IPQ.R_11","IPQ.R_12","IPQ.R_13","IPQ.R_14","IPQ.R_15","IPQ.R_16","IPQ.R_17","IPQ.R.02_1","IPQ.R.02_2","IPQ.R.02_3","IPQ.R.02_4","IPQ.R.02_5","IPQ.R.02_6","IPQ.R.02_7","IPQ.R.02_8","IPQ.R.02_9","IPQ.R.02_10","IPQ.R.02_11","IPQ.R.02_12","IPQ.R.02_13","IPQ.R.02_14","IPQ.R.02_15","IPQ.R.02_16","IPQ.R.02_17","Timeline_pre","Timeline_post","Control_pre","Control_post","Coherence_pre","Coherence_post"
"R_XoYAqL7yLtFkr4d",1,2,2,1,2,1,-1,2,-1,1,1,1,1,2,2,2,1,1,1,1,0,2,2,1,1,1,1,1,2,1,1,1,1,1,1.5,1.16666666666667,0.5,1.16666666666667,1.6,1
"R_3IaGLwpZiQeJQVW",-1,-1,-1,-1,-1,1,0,2,1,1,1,1,-1,-1,0,1,1,0,-1,-1,-1,-1,1,1,1,1,2,1,1,-1,-1,1,1,0,-0.666666666666667,-0.5,1,1.16666666666667,0,0
"R_1CezXg4JZ9boHJy",-2,-2,-2,-2,-2,2,2,2,1,1,0,2,1,2,0,1,1,-2,-2,-1,-2,-1,1,1,1,1,2,2,2,1,1,0,2,0,-1.33333333333333,-1.16666666666667,1.33333333333333,1.5,1,0.8
"R_UPItnFEsIFFE4lH",-1,-2,-2,-2,-2,-2,1,1,1,1,1,1,-1,-1,-1,-1,0,-1,-2,-2,-2,-2,1,1,1,1,-1,-1,1,-1,0,-1,-1,0,-1.83333333333333,-1.33333333333333,1,0.333333333333333,-0.8,-0.6
"R_1rje4CYS5mwdhrb",1,0,1,1,1,-1,1,2,2,2,2,2,1,1,-1,1,0,1,1,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,0.5,1.16666666666667,1.83333333333333,1.83333333333333,0.4,1.6
"R_1C315IMxfbpopp1",0,2,1,1,2,2,2,1,1,2,2,2,1,2,1,2,1,0,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,1,1.33333333333333,1.5,1.66666666666667,1.83333333333333,1.4,1.6
"R_1jv6WJWjePYh9UH",1,1,0,1,-1,1,2,1,1,2,1,1,0,2,1,1,-1,1,-2,-1,-1,2,2,2,2,1,2,1,2,-1,2,2,2,1,0.5,0.166666666666667,1.33333333333333,1.66666666666667,0.6,1.2
"R_1dztUTIbmV30hyD",1,1,1,0,1,1,2,2,1,2,1,2,-1,1,0,1,-1,1,2,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,0.833333333333333,1.16666666666667,1.66666666666667,2,0,1
"R_3qgJabyGQ4geWDI",0,1,1,0,2,2,1,1,0,2,2,2,1,2,2,2,1,0,1,1,0,0,2,2,2,1,2,1,2,1,2,2,2,1,1,0.666666666666667,1.33333333333333,1.66666666666667,1.6,1.6
"R_2fGUkDLWFQKPOxr",1,1,1,0,2,1,0,1,0,2,0,2,1,2,2,2,0,1,2,1,1,2,1,0,1,-1,-1,1,1,1,1,2,2,0,1,1.33333333333333,0.833333333333333,0.166666666666667,1.4,1.2
"R_1EX7LU1suR8EQ0P",0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,1,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,0,0,1,1,1.8,2
"R_2hpKDgVN3CzilRT",-1,-1,-1,-1,1,-1,0,-1,0,1,1,1,0,-1,-1,-1,-1,1,1,0,1,1,0,1,2,0,1,1,1,0,1,1,1,1,-0.666666666666667,0.666666666666667,0.333333333333333,1,-0.8,0.8
"R_3KIXnoTQSqCCgiL",2,2,2,2,2,-2,2,2,2,2,2,-2,-1,2,2,2,2,2,2,2,2,-1,-2,2,2,2,2,2,2,0,2,-2,2,2,1.33333333333333,0.833333333333333,1.33333333333333,2,1.4,0.8
"R_2xPLa0cnfnXKR7S",0,1,1,-2,2,-1,0,1,0,1,-1,1,0,1,2,2,1,1,2,0,-1,2,0,0,1,0,2,1,2,1,2,2,2,1,0.166666666666667,0.666666666666667,0.333333333333333,1,1.2,1.6
"R_3HnwOKnKVnoll3m",2,2,2,2,2,-2,2,2,1,2,2,2,-1,0,1,1,1,2,2,2,2,2,-2,2,2,1,2,2,2,-1,1,-1,0,0,1.33333333333333,1.33333333333333,1.83333333333333,1.83333333333333,0.4,-0.2
"R_1ZmyenuwxsxmuVr",-1,2,-1,-2,2,1,0,2,1,2,1,2,-1,-1,-1,0,-1,-1,1,-1,-2,2,1,1,2,1,2,1,2,-1,1,0,0,0,0.166666666666667,0,1.33333333333333,1.5,-0.8,0
"R_3m1Qxxv5cOeK0nP",2,2,2,2,2,2,1,2,0,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1.33333333333333,1.83333333333333,2,2
"R_3qDMlMrBUhRG6DV",1,1,-1,-1,1,1,-1,0,-1,0,0,-1,2,2,2,2,2,0,-1,-1,-1,2,1,1,1,-1,1,1,1,2,2,2,2,2,0.333333333333333,0,-0.5,0.666666666666667,2,2
"R_3iLl2Uo7NLRE7iK",1,0,1,1,2,0,2,2,0,-1,1,1,0,0,0,0,0,0,-1,0,0,2,0,2,2,-2,2,2,2,0,0,0,0,1,0.833333333333333,0.166666666666667,0.833333333333333,1.33333333333333,0,0.2
"R_2y2B7ELpqrFGGtF",2,2,2,2,1,-1,2,2,1,1,1,2,1,2,2,2,1,2,2,2,-1,2,-2,2,1,1,2,2,2,1,2,2,2,1,1.33333333333333,0.833333333333333,1.5,1.66666666666667,1.6,1.6
"R_DIRxMc69RbCQigV",1,2,2,1,-1,-1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,-1,-1,1,2,2,2,2,2,2,2,2,2,2,2,0.666666666666667,0.5,1.66666666666667,2,2,2
"R_tDs6dmyh7qp4zTP",-1,-1,-1,-1,0,0,-1,1,-1,1,-1,1,0,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,1,-1,1,-1,1,0,-1,-1,1,-1,-0.666666666666667,-0.666666666666667,0,0,-0.4,-0.4
"R_1gAfHoHMgxqqHRi",1,2,2,2,2,0,2,1,1,2,1,-2,2,2,2,2,1,1,2,2,0,2,-2,1,2,1,2,2,2,2,2,2,2,1,1.5,0.833333333333333,0.833333333333333,1.66666666666667,1.8,1.8
"R_3HIGGIm2LMPssrW",-2,-2,-2,-2,-2,2,0,0,-2,2,1,2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,2,0,1,0,2,2,2,-2,-2,-2,-2,2,-1.33333333333333,-1.33333333333333,0.5,1.16666666666667,-1.2,-1.2
"R_3PF9Us4DwFcVHUQ",2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,2,1.8,2
"R_2EzAjXtWGFqHKa4",0,2,0,-1,1,2,0,0,1,1,2,2,-1,1,1,2,1,-1,2,-1,-1,2,2,0,1,1,2,1,2,0,1,2,2,0,0.666666666666667,0.5,1,1.16666666666667,0.8,1
"R_2ONqd1mPGZltpOt",-2,-1,-1,-2,-1,1,0,1,1,2,2,2,-1,0,0,0,0,2,-1,0,2,1,1,2,2,1,2,2,2,1,1,1,1,-1,-1,0.833333333333333,1.33333333333333,1.83333333333333,-0.2,0.6
"R_3hxzNxkUyMwjf8v",-2,-1,-1,-2,2,1,0,1,-1,2,1,1,-1,-1,-1,-1,0,-1,2,-1,-1,2,1,1,2,1,2,2,2,1,1,1,0,1,-0.5,0.333333333333333,0.666666666666667,1.66666666666667,-0.8,0.8
"R_1mrXnxYYLTtEm20",-2,-1,-1,-2,1,0,-1,-1,1,0,-1,1,0,-1,-1,0,0,-2,-1,1,-2,2,0,0,1,1,1,0,2,0,-1,-1,-1,-1,-0.833333333333333,-0.333333333333333,-0.166666666666667,0.833333333333333,-0.4,-0.8
"R_3qmWCXpiOwAheP6",0,1,2,1,1,1,1,1,0,2,1,2,1,1,1,1,0,0,1,2,0,1,1,1,1,0,2,1,2,1,2,1,1,0,1,0.833333333333333,1.16666666666667,1.16666666666667,0.8,1
"R_2V7udnwQfEkNjoj",2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1.83333333333333,1.66666666666667,1,1
"R_2rSbU3WY2dQdKAI",1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,0,1,2,2,0,2,2,2,2,1,2,2,2,1,2,2,2,0,1.66666666666667,1.5,1.66666666666667,1.83333333333333,1.4,1.4
"R_2dEXr0wtJNFgzgn",-1,0,0,-2,0,1,1,1,1,1,1,1,1,2,1,2,1,-1,0,-1,-1,1,1,1,1,1,1,2,2,0,2,1,1,1,-0.333333333333333,-0.166666666666667,1,1.33333333333333,1.4,1
"R_pDF5UMEPXCUXfO1",1,1,-1,-1,-1,1,2,1,1,2,1,-1,1,2,1,2,1,1,1,1,1,-1,2,2,2,1,1,2,-1,1,2,0,1,1,0,0.833333333333333,1,1.16666666666667,1.4,1
"R_1dGn2rpNdSiON2W",2,2,2,2,2,2,2,1,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1.5,1.66666666666667,1.83333333333333,1.4,2
"R_a4MvjMzNgIDr03L",0,-1,1,0,1,0,0,1,0,1,1,1,-1,2,0,1,-1,1,0,1,1,2,-1,1,1,1,1,-1,-1,0,-1,-1,1,1,0.166666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.2,0
"R_3j3gjA8tv5vZBHG",-2,2,-2,-2,2,-1,1,1,1,2,2,2,1,2,2,1,1,-2,-1,-1,-2,2,1,2,2,2,2,2,-2,2,2,2,2,0,-0.5,-0.5,1.5,1.33333333333333,1.4,1.6
"R_1hA5rnQ0jdWrBFb",0,0,0,0,1,1,1,2,1,2,1,2,-1,-1,-1,-1,0,0,0,0,0,1,1,2,1,1,2,1,1,0,0,0,1,0,0.333333333333333,0.333333333333333,1.5,1.33333333333333,-0.8,0.2
"R_qPbZOeMGamRRJmh",0,0,1,-1,2,1,0,0,-1,1,1,1,1,2,1,1,1,1,1,1,-1,1,1,0,1,1,0,1,1,1,2,2,2,1,0.5,0.666666666666667,0.333333333333333,0.666666666666667,1.2,1.6
"R_3a2TYSIOQPUhGGl",-1,0,-1,-1,-1,2,2,2,2,2,2,2,1,1,2,2,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,-0.333333333333333,1,2,2,1.4,1.8
"R_3NvLpqJXyiBfOgs",-1,-1,-1,-2,1,0,1,1,2,2,2,2,2,2,2,2,1,0,-1,1,-1,2,1,2,2,2,2,2,2,2,2,2,2,1,-0.666666666666667,0.333333333333333,1.66666666666667,2,1.8,1.8
